OBJECTID,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,related_stations,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_charging_units,federal_agency_id,federal_agency_code,federal_agency_name,ev_network_ids_station,ev_network_ids_posts,x,y
705,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19920,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,708-422-2332,10/29/2025 9:41:01 PM,200-9,41.720593,-87.737454,Oak Lawn,US,East of Cicero Ave,,IL,8900 S Cicero Ave,60453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9766888.7028,5119217.0851
706,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19924,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,773-889-8194,10/29/2025 9:41:01 PM,200-9,41.911872,-87.746203,Chicago,US,Between North and Grand,,IL,1700 N Cicero Ave,60639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9767862.637,5147787.4248
707,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19925,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,773-286-4507,10/29/2025 9:41:01 PM,200-9,41.958921,-87.74721,Chicago,US,,,IL,4301 N Cicero Ave,60641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9767974.7357,5154827.9939
708,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19926,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,773-493-1206,10/29/2025 9:41:01 PM,200-9,41.766351,-87.583615,Chicago,US,At Stoney Island,,IL,1650 E 71st St,60649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9749763.4236,5126043.9591
709,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19927,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,708-656-8890,10/29/2025 9:41:01 PM,200-9,41.850832,-87.750927,Cicero,US,West of Cicero Ave before Laramie,,IL,5027 W Cermak Rd,60804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9768388.5103,5138660.925
710,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19931,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,309-829-3337,10/29/2025 9:41:01 PM,200-9,40.491139,-88.994306,Bloomington,US,Business 51,,IL,1206 N Main St,61701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9906800.8274,4937572.057
711,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",,A Cash D M V,1/9/2024 12:00:00 AM,,LPG,Public,19932,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,217-351-7040,1/31/2024 10:07:01 PM,200-9,40.116631,-88.23472,Champaign,US,Between 3rd and 4th,,IL,2022 Glen Park Dr,61820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",1,,,,,,,,,,,,Public,,None,,,,,,-9822244.1007,4882905.2814
712,public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",CALL,A Cash D M V,5/12/2025 12:00:00 AM,,LPG,Public - Call ahead,19934,HD,11/1/2000 12:00:00 AM,P,[],0,E,,RENTAL_CAR_RETURN,U-Haul,217-546-2730,10/29/2025 9:41:01 PM,200-9,39.806744,-89.685933,Springfield,US,South of Jefferson,,IL,410 N Bruns Ln,62702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ACME"",""QUICK_CONNECT""]",0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9983792.3929,4837898.4579
1001,public,24 hours daily,,A Cash D Debit M V Wright_Exp,10/13/2025 12:00:00 AM,,E85,Public,20844,,8/15/2000 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Citgo,773-528-3040,10/13/2025 8:52:30 PM,200-9,41.956159,-87.663596,Chicago,US,,,IL,4070 N Clark St,60613,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9758666.8678,5154414.5355
1042,public,8am-5pm M-F,CALL,Cash Checks D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21197,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,815-458-2373,9/12/2025 9:23:31 PM,200-9,41.25572,-88.226144,Braidwood,US,,,IL,415 S Division St,60408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9821289.4247,5050133.7908
1043,public,8am-4:30pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21201,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,217-428-4656,9/12/2025 9:23:31 PM,200-8,39.869986,-88.954648,Decatur,US,South of St. Teresa High School,,IL,2526 N Water St,62526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9902386.1191,4847066.9474
1044,public,"8am-12pm, 1pm-5pm M-F",CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21205,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,815-933-4464,9/12/2025 9:23:31 PM,200-9,41.101504,-87.869992,Kankakee,US,,,IL,1625 S Schuyler Ave,60901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9781642.7654,5027325.0287
1046,public,8am-5pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21207,HD,9/23/2019 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,847-356-8225,9/12/2025 9:23:31 PM,200-9,42.416937,-88.078716,Lake Villa,US,Next to tracks,,IL,200 E Grand Ave,60046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9804877.8148,5223640.6469
1047,public,8am-4:30pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21211,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,815-792-4051,9/12/2025 9:23:31 PM,200-9,41.354657,-88.703976,Marseilles,US,South of I-80 at the Marseilles exit about 1.5 miles,,IL,2904 E 24th Rd,61341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9874481.4397,5064795.074
1048,public,8am-5pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21213,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,217-354-2102,9/12/2025 9:23:31 PM,GPS,40.114198,-87.8125,Oakwood,US,"2 miles west of Oakwood on Route 150, on the curve",,IL,6792 E 1700 N Rd,61858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9775242.7853,4882551.1251
1049,public,8am-4:30pm M-F,CALL,Cash Checks D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21215,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,815-844-7155,9/12/2025 9:23:31 PM,200-9,40.886754,-88.644287,Pontiac,US,,,IL,1005 Interlake Dr,61764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9867836.8906,4995652.2273
1050,public,8am-4:30pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21221,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,217-367-5456,9/12/2025 9:23:31 PM,200-9,40.114285,-88.181229,Urbana,US,On Route 150 across from Casey's General Store,,IL,2201 E University Ave,61802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9816289.5098,4882563.7889
1051,public,8am-4:30pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21222,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,618-283-3120,9/12/2025 9:23:31 PM,200-9,38.976227,-89.113837,Vandalia,US,,,IL,1704 Veterans Ave,62471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9920106.9575,4718266.8662
1052,public,8am-4:30pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21223,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,815-432-2401,9/12/2025 9:23:31 PM,200-8,40.775553,-87.700541,Watseka,US,"On Route 24 and Route 1, east side of Watseka",,IL,1620 E Walnut St,60970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9762779.5664,4979291.9382
1053,public,8am-5pm M-F,CALL,Cash D M V,9/12/2025 12:00:00 AM,,LPG,Public - Call ahead,21224,HD,1/11/2002 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Hicksgas,815-338-1296,9/12/2025 9:23:31 PM,200-8,42.302938,-88.431897,Woodstock,US,"Northeast corner, at Route 47",,IL,1023 Lake Ave,60098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public - Appeler à l'avance,,None,,,,,,-9844193.7439,5206466.6605
1217,private,Call 630-434-5509 to set up fueling account,FLEET,,9/14/2023 12:00:00 AM,,CNG,Private - Fleet customers only,23236,HD,1/1/2001 12:00:00 AM,P,"[""{'id': 47263, 'access_code': 'private', 'fuel_type_code': 'BD'}""]",,E,,MUNI_GOV,Village of Downers Grove,,11/6/2025 5:25:15 PM,200-9,41.793467,-88.051732,Downers Grove,US,Walnut Ave and Curtis St,,IL,5101 Walnut Ave,60515,,1,Q,0,3600,,,,HD,,,,,,,,,,,,,,,,,,,,,,Q,3600,HD,,,,,,,,,Privé - Réservé aux clients de parcs,,None,,,,,,-9801873.9697,5130091.8339
1231,public,8am-4:30pm M-F,,A Cash Checks D M V,10/13/2025 12:00:00 AM,,LPG,Public,23656,HD,11/5/2003 12:00:00 AM,P,[],0,E,,FUEL_RESELLER,Blackhawk Propane,815-389-3522,10/13/2025 8:52:30 PM,200-9,42.48629,-89.045448,South Beloit,US,,,IL,1000 Doner Dr,61080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[""ACME""],0,,,,,,,,,,,,Public,,None,,,,,,-9912493.9288,5234103.9754
1235,public,5:30am-10pm daily,,A Cash D Debit M V Voyager Wright_Exp,10/13/2025 12:00:00 AM,,E85,Public,24807,MD,10/15/2003 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,BP - Becker's,815-584-2189,10/13/2025 8:52:30 PM,GPS,41.112992,-88.412481,Dwight,US,"At IL Route 47; I-55 exit 220, immediately south of I-55 on IL Route 47",,IL,10 E Northbrook Dr,60420,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9842032.3647,5029022.2708
1290,private,Illinois State fuel card required; call Scott at 312-886-8682 for card,GOVERNMENT,,12/10/2024 12:00:00 AM,,E85,Private - Government only,26014,MD,11/15/2004 12:00:00 AM,SG,[],,E,,STATE_GOV,Illinois State CMS Garage,,9/15/2025 8:17:25 PM,200-8,39.779213,-89.652986,Springfield,US,,,IL,200 E Ash,62704,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,None,,,,,,-9980124.7496,4833909.7948
1325,public,24 hours daily,,A Cash Checks D FuelMan GasCard M PHH V Voyager Wright_Exp,9/12/2025 12:00:00 AM,,E85,Public,26666,MD,3/15/2005 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Qik-n-EZ #62,309-661-0524,9/12/2025 9:23:31 PM,200-9,40.458468,-88.970711,Bloomington,US,,,IL,1607 Morrissey Dr,61704,,,,,,,,,,1,[""E15""],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9904174.244,4932790.9871
1351,private,DOE fleet use only,GOVERNMENT,,1/10/2024 12:00:00 AM,,E85,Private - Government only,26878,LD,4/15/2005 12:00:00 AM,FG,"[""{'id': 47264, 'access_code': 'private', 'fuel_type_code': 'BD'}"",""{'id': 68546, 'access_code': 'private', 'fuel_type_code': 'ELEC'}""]",,E,,RESEARCH_FACILITY,Argonne National Laboratory,,11/14/2025 2:26:42 PM,GPS,41.71298,-87.960781,Lemont,US,,,IL,9700 S Cass Ave,60439,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,None,8,DOE,U.S. Department of Energy,,,-9791749.3507,5118081.7338
1352,private,,GOVERNMENT,,1/10/2024 12:00:00 AM,,E85,Private - Government only,26880,LD,4/15/2005 12:00:00 AM,FG,"[""{'id': 62673, 'access_code': 'private', 'fuel_type_code': 'BD'}"",""{'id': 62674, 'access_code': 'private', 'fuel_type_code': 'CNG'}""]",,E,,MIL_BASE,Naval Station Great Lakes,,11/14/2025 2:26:42 PM,GPS,42.317212,-87.851241,Great Lakes,US,,,IL,2415 Spaulding St,60088,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,None,14,DON,Department of Navy,,,-9779555.4137,5208615.3381
1384,public,24 hours daily,,A Cash Checks D Debit M V,9/12/2025 12:00:00 AM,,E85,Public,27348,,9/15/2005 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Phillips 66 - Apollo Mart,309-697-6610,9/12/2025 9:23:31 PM,200-9,40.66394,-89.679796,Bartonville,US,Junction of Airport Road and West Harp Hollow Road,,IL,2136 S Airport Rd,61607,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9983109.2252,4962898.5478
1397,public,24 hours daily,,A Cash Checks D M V Voyager Wright_Exp,9/12/2025 12:00:00 AM,,E85,Public,27427,MD,7/15/2005 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Qik-n-EZ #72,309-862-0200,9/12/2025 9:23:31 PM,200-9,40.530365,-88.996595,Normal,US,Just south of West Raab Road,,IL,1609 N Main St,61761,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9907055.6377,4943315.4609
1398,public,5am-12am daily,CREDIT_CARD_AFTER_HOURS,A Cash Checks D Debit M V Voyager Wright_Exp,9/12/2025 12:00:00 AM,,E85,Public - Credit card after hours,27428,MD,7/15/2005 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Qik-n-EZ #52,217-562-2044,9/12/2025 9:23:31 PM,200-9,39.386204,-89.081528,Pana,US,Junction of South Poplar Street and 4th Street,,IL,301 S Poplar St,62557,,,,,,,,,,1,[""E15""],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit après les heures d'ouverture,,None,,,,,,-9916510.336,4777143.935
1399,public,24 hours daily,,A Cash Checks D Debit FuelMan GasCard M V Voyager Wright_Exp,9/12/2025 12:00:00 AM,,E85,Public,27432,MD,9/15/2006 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Qik-n-EZ #55,217-529-0002,9/12/2025 9:23:31 PM,200-9,39.757093,-89.640412,Springfield,US,3 blocks east of Business Route 55 on Stevenson Drive,,IL,1101 Stevenson Dr,62703,,,,,,,,,,1,[""E15""],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9978725.0183,4830706.2278
1428,public,5am-10pm daily,CREDIT_CARD_AFTER_HOURS,A Cash D M V Voyager Wright_Exp,9/12/2025 12:00:00 AM,,E85,Public - Credit card after hours,28301,MD,12/15/2005 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,The Hometown Express,309-944-5158,9/12/2025 9:23:31 PM,200-8,41.4399,-90.15118,Geneseo,US,,,IL,365 US Highway 6 E,61254,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit après les heures d'ouverture,,None,,,,,,-10035583.452,5077444.9503
1429,public,24 hours daily,,A Cash D M V Voyager Wright_Exp,10/11/2024 12:00:00 AM,,E85,Public,28307,MD,6/15/2005 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Speedway #1417,630-551-3310,2/12/2025 12:16:32 AM,200-9,41.687679,-88.338486,Oswego,US,,,IL,4032 US Highway 34,60543,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,None,,,,,,-9833795.279,5114309.4797
1430,public,5:30am-10pm daily,CREDIT_CARD_AFTER_HOURS,A Cash D M V Voyager Wright_Exp,10/13/2025 12:00:00 AM,,E85,Public - Credit card after hours,28310,MD,12/15/2005 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Shell - Jiffi Stop #16,217-223-6381,10/13/2025 8:52:30 PM,200-8,39.94819,-91.37785,Quincy,US,,,IL,1401 N 24th St,62301,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit après les heures d'ouverture,,None,,,,,,-10172135.7318,4858416.2453
1443,public,5am-1am daily,CREDIT_CARD_AFTER_HOURS,A Cash D Debit M V Voyager Wright_Exp,9/12/2025 12:00:00 AM,,E85,Public - Credit card after hours,28423,MD,5/15/2007 12:00:00 AM,P,[],0,E,,CONVENIENCE_STORE,Qik-n-EZ #57,217-243-3400,9/12/2025 9:23:31 PM,200-9,39.691765,-90.229191,Jacksonville,US,Junction of I-72 and Route 67,,IL,103 Comfort Dr,62650,,,,,,,,,,1,[""E15""],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit après les heures d'ouverture,,None,,,,,,-10044267.5968,4821250.9891
